year,state_id,C-Breast Cancer Screening,C-Colorectal Cancer Screening,C-Care for Older Adults - Pain Assessment,C-Osteoporosis Management in Women who had a Fracture,C-Diabetes Care - Eye Exam,C-Diabetes Care - Kidney Disease Monitoring,C-Diabetes Care - Blood Sugar Controlled,C-Controlling Blood Pressure,C-Rheumatoid Arthritis Management,C-Reducing the Risk of Falling,C-Plan All-Cause Readmissions,C-Getting Needed Care,C-Annual Flu Vaccine,C-Getting Appointments and Care Quickly,C-Customer Service,C-Rating of Health Care Quality,C-Rating of Health Plan,C-Care Coordination,C-Complaints about the Health Plan,C-Members Choosing to Leave the Plan,C-Beneficiary Access and Performance Problems,C-Health Plan Quality Improvement,C-Plan Makes Timely Decisions about Appeals,C-Improving or Maintaining Physical Health,C-Reviewing Appeals Decisions,C-Call Center - Foreign Language Interpreter and TTY Availability,D-Call Center - Foreign Language Interpreter and TTY Availability,D-Appeals Auto-Forward,D-Appeals Upheld,D-Complaints about the Drug Plan,D-Members Choosing to Leave the Plan,D-Beneficiary Access and Performance Problems,D-Drug Plan Quality Improvement,D-Rating of Drug Plan,C-Improving or Maintaining Mental Health,D-Getting Needed Prescription Drugs,D-MPF Price Accuracy,D-Medication Adherence for Diabetes Medications,D-Medication Adherence for Hypertension (RAS antagonists),D-Medication Adherence for Cholesterol (Statins),D-MTM Program Completion Rate for CMR,C-Improving Bladder Control,C-Medication Reconciliation Post-Discharge,C-Monitoring Physical Activity,C-Adult BMI Assessment,C-Special Needs Plan (SNP) Care Management,C-Care for Older Adults - Medication Review,C-Care for Older Adults - Functional Status Assessment,C-Statin Therapy for Patients with Cardiovascular Disease,D-Statin Use in Persons with Diabetes (SUPD),Adults aged >= 18 years with arthritis who have taken a class to learn how to manage arthritis symptoms,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,Amputation of a lower extremity attributable to diabetes,Arthritis among adults aged >= 18 years,Arthritis among adults aged >= 18 years who are obese,Arthritis among adults aged >= 18 years who have diabetes,Arthritis among adults aged >= 18 years who have heart disease,Awareness of high blood pressure among adults aged >= 18 years,"Cancer of the colon and rectum (colorectal), incidence","Cancer of the colon and rectum (colorectal), mortality","Cancer of the female breast, mortality",Cholesterol screening among adults aged >= 18 years,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,Fair or poor health among adults aged >= 18 years with arthritis,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Foot examination among adults aged >= 18 years with diagnosed diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,High cholesterol prevalence among adults aged >= 18 years,Hospitalization for acute myocardial infarction,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years,Hospitalization for stroke,Hospitalization with diabetes as a listed diagnosis,Incidence of treated end-stage renal disease,Incidence of treated end-stage renal disease attributed to diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,"Invasive cancer of the female breast, incidence",Mammography use among women aged 50-74 years,Mortality due to diabetes reported as any listed cause of death,Mortality from cerebrovascular disease (stroke),Mortality from coronary heart disease,Mortality from diseases of the heart,Mortality from heart failure,Mortality from total cardiovascular diseases,Mortality with diabetic ketoacidosis reported as any listed cause of death,Mortality with end-stage renal disease,Osteoporosis-All Females,Osteoporosis-Females 65 and older,Physical inactivity among adults aged >= 18 years with arthritis,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,Prevalence of chronic kidney disease among adults aged >= 18 years,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,Severe joint pain due to arthritis among adults aged >= 18 years who have doctor-diagnosed arthritis,Taking medicine for high blood pressure control among adults aged >= 18 years with high blood pressure,Visits to dentist or dental clinic among adults aged >= 18 years with diagnosed diabetes,Work limitation due to arthritis among adults aged 18-64 years who have doctor-diagnosed arthritis,seasonal influenca vaccine coverage for 65 and older,american_indian_alaska_native,asian,black,hawaiian_pacific_islander,white,population,personal_income,income_per_capita
2022,SD,73.29430226943505,74.9542845877508,98.43252279635259,28.779696102180136,77.90959870323316,91.04466397967231,86.9156663453956,,82.6951112089848,48.26796197318847,,84.75501620958556,78.12877858582318,81.59149653903444,91.54565878155147,87.69186454043634,87.27611057565933,86.9651493910453,0.05977700867431876,7.294203977919916,,,99.1321955516406,,96.1162739484695,99.04062288422477,92.78747620160993,,,0.08719867487113053,10.594509261894116,,,83.26188031878968,,90.3067067405106,91.86878438067366,86.13973902248131,88.19473386259789,87.51277109083313,58.98162635726607,41.2156621746192,76.76076853321243,44.033623937615,,85.39736575481257,95.67011144883486,,81.93967186965934,80.0334723234286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,TN,74.80934521172745,79.03206261748564,96.12686163629328,54.02464247238184,77.3784254180317,97.23388142206984,83.24295905641112,,76.53221183269044,51.456391630769645,,85.75654532298792,75.67607357735515,80.11075981039606,91.91517191413328,88.43358693708254,89.90581166599122,87.35368385138592,0.1068080618701664,8.66608596465639,,,97.51588642352304,,97.74674973937171,98.93267017324781,95.06254349127936,,,0.09465337349546464,9.609031115487706,,,86.66787112802452,,91.33483371062978,93.12968858910143,85.07304386317372,87.44852866442302,86.69340708296643,68.03555599040213,46.4028091275637,75.33490836901774,47.50557405262954,,74.83627213715967,95.77640657631957,,82.3346360190973,80.76798787177594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,TX,74.95277722753389,79.17453845607764,96.10248368588074,47.745870868843305,77.15742005475039,97.44068371219865,83.69694276674252,,79.24102086642203,55.34606135077018,,83.78094179163409,77.95298253733458,78.82507760579318,90.99936236171148,87.80149577985988,88.47734914670944,86.68483900686624,0.13839059389515593,11.503866390306122,,,98.27345375670052,,97.49887291200723,98.29972415379858,96.42756966861732,,,0.10745076733468858,10.961540851763308,,,85.78050901661868,,90.45210012954263,92.02134866054661,85.2599682275868,87.49207011073361,86.59950785060505,63.940190593555144,46.02402976082276,72.31338672419477,51.92835445896424,,75.26792323313711,94.97393196841631,,83.15513514306093,82.06077545830678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,UT,72.31198869796629,81.26628273912068,98.23407683673099,46.209227201670544,78.52331730900698,95.80185619671092,84.09107614562996,,82.8098407175312,51.02695703617712,,84.58681460711078,79.98147823610594,81.54356612412101,90.93947168931133,87.97186137702907,88.19166356327631,87.3229753116169,0.10400022970024118,8.428494861824367,,,98.24368982273013,,97.28338432466481,98.76046528014916,96.56415567095718,,,0.08889255675137922,9.347570624531965,,,85.72347055876125,,91.2390049944237,91.60563589774794,86.00425076620141,87.78097435682588,87.57553891916454,69.05266889463965,46.367997944145564,74.4026863990112,53.37964915804626,,77.75887552528619,97.94327769127712,,86.08624371652922,80.84428144648514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,VA,74.06681487080968,79.37587642100414,94.60073136957018,45.11593224484181,75.55033318288038,96.84978337560602,82.448259394914,,80.91242577030812,54.82636063028152,,84.07698169373094,75.48488217678829,80.16073465713623,90.96907158480909,87.2457821607458,87.5971529028003,87.00751546318247,0.16159430609733574,11.214734096881793,,,96.9611816417245,,96.42712578868438,98.9439334053843,96.31909143789292,,,0.10978345562612081,10.37497336097572,,,85.08649989667065,,90.26559857082273,89.37324477638586,85.64046481974741,87.767691543495,87.01883837208621,60.91188811599193,45.83522930776714,73.87403308037968,51.648735208279895,,77.08143459915611,93.28087482018258,,83.89299182024685,80.78987479905659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,VI,82.0,83.0,,40.0,85.0,98.0,92.0,,88.0,55.0,,85.0,84.0,80.0,93.0,88.0,90.0,87.0,0.04,0.0,,,100.0,,97.0,100.0,99.5971366437115,,,0.03537151141718014,3.306904675607104,,,85.88410656034796,,90.95288147879667,92.07430228343603,87.3485864443639,88.89552374048569,87.91573033707866,40.88202247191011,50.0,73.0,55.0,,,,,82.0,80.44164552374049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,VT,74.36723728601774,77.48606772460327,92.31703810208484,42.00878837102753,78.08904993960599,96.86421758507227,82.14827772918488,,82.25956932816861,52.698613020117456,,84.20825523761923,79.05314673664043,81.27777083593652,91.21828133552272,87.81806822441584,86.53105085592902,85.89899620975467,0.1096901162064226,11.920571452372027,,,99.62014244658253,,95.9250697655046,97.17520830577966,94.155338869354,,,0.07015072870679942,9.994100513886055,,,84.00665903171583,,89.9167667214659,90.92945661651486,86.06752313574819,88.17647819421099,87.31968893732568,51.7829857583538,44.688741721854306,62.394227164813195,49.273064267566326,,75.54349388928829,92.18116462976276,,85.74347119830064,80.34143931137669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,WA,73.75928354064042,79.89974926940992,95.50343929609511,52.70285929059525,77.89767317986248,96.29396782288708,82.74444177698088,,84.13308809548755,53.34978932838614,,82.37471299236859,78.33098418993193,80.22405889759268,91.01547592779654,86.54731155861833,86.93693690297579,86.21429084603719,0.10752478552967701,7.745700903500713,,,98.01478891167109,,96.43862522719155,98.64633047859651,94.73705145121396,,,0.09107351795987635,9.251784257908893,,,85.04262004386443,,90.79477712618625,91.90060825202568,86.19095702929074,88.26826831692281,87.74916568506899,65.1956604928823,47.73543930757515,76.86285715357464,52.18035200334209,,72.19334488913519,92.16679599647522,,85.71411535699437,81.98939357430135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,WI,76.22863753953712,79.48145003384758,96.96126072610323,38.05393378290852,76.68780609719967,96.37134524702117,84.91055299836638,,84.53103701117318,52.21618329514684,,85.54233735107735,78.98565939446358,82.33820797937472,91.90963207444703,88.3407303641198,88.6160379499976,87.8773531354669,0.08292726519794602,6.731986085804207,,,98.40213427677013,,94.5438687925684,97.12310334955626,95.98533996243413,,,0.07965574236571017,8.33853036374275,,,85.5577222539336,,91.09975167014204,91.93758255680066,87.06164178526991,88.95640783361809,88.2270217874285,67.37025542503564,45.38796750676942,74.36309274512541,49.360390767002855,,77.41720306851248,95.55633727648635,,84.74436955419964,81.63167047812603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,WV,71.94571608936066,76.89022807776388,97.30175332729894,45.63073014547226,69.68623233303329,95.53784734805532,81.54842707005997,,79.90083027181588,53.32154756198782,,84.54268713248618,75.74388305023322,79.6139161337838,90.92967518495932,87.22740557159725,86.04787178078348,87.22121555745198,0.1176586666043184,11.979419225868297,,,97.77780707459556,,97.5425594871885,99.47164969450102,94.93136928574569,,,0.09655369823414818,11.254773521357299,,,84.89522403066675,,90.69021554703701,91.85372011379836,85.86171433228431,87.96693393683313,87.17040197098687,63.82647604598969,46.31804047182053,79.51299961422008,48.414380238715935,,82.74466961681586,96.28218344564014,,82.12297611671596,80.55712351266973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
