year,contract_id,C-Adult BMI Assessment,C-Annual Flu Vaccine,C-Breast Cancer Screening,C-Call Center - Foreign Language Interpreter and TTY Availability,C-Care Coordination,C-Care for Older Adults - Functional Status Assessment,C-Care for Older Adults - Medication Review,C-Care for Older Adults - Pain Assessment,C-Colorectal Cancer Screening,C-Complaints about the Health Plan,C-Customer Service,C-Diabetes Care - Blood Sugar Controlled,C-Diabetes Care - Eye Exam,C-Diabetes Care - Kidney Disease Monitoring,C-Getting Appointments and Care Quickly,C-Getting Needed Care,C-Health Plan Quality Improvement,C-Improving Bladder Control,C-Improving or Maintaining Mental Health,C-Improving or Maintaining Physical Health,C-Medication Reconciliation Post-Discharge,C-Members Choosing to Leave the Plan,C-Monitoring Physical Activity,C-Osteoporosis Management in Women who had a Fracture,C-Plan All-Cause Readmissions,C-Plan Makes Timely Decisions about Appeals,C-Rating of Health Care Quality,C-Rating of Health Plan,C-Reducing the Risk of Falling,C-Reviewing Appeals Decisions,C-Rheumatoid Arthritis Management,C-Special Needs Plan (SNP) Care Management,C-Statin Therapy for Patients with Cardiovascular Disease,D-Appeals Auto-Forward,D-Appeals Upheld,D-Call Center - Foreign Language Interpreter and TTY Availability,D-Complaints about the Drug Plan,D-Drug Plan Quality Improvement,D-Getting Needed Prescription Drugs,D-MPF Price Accuracy,D-MTM Program Completion Rate for CMR,D-Medication Adherence for Cholesterol (Statins),D-Medication Adherence for Diabetes Medications,D-Medication Adherence for Hypertension (RAS antagonists),D-Members Choosing to Leave the Plan,D-Rating of Drug Plan,D-Statin Use in Persons with Diabetes (SUPD),Financial Reasons for Disenrollment,Problems Getting Information and Help from the Plan,"Problems Getting Needed Care, Coverage, and Cost Information",Problems with Coverage of Doctors and Hospitals,Problems with Prescription Drug Benefits and Coverage
2020,H9460,99.0,65.0,65.0,98.0,86.0,,,,75.0,0.61,90.0,80.0,70.0,98.0,78.0,82.0,,39.0,,,83.0,28.0,47.0,,8.0,100.0,84.0,84.0,51.0,100.0,,,68.0,0.0,,97.0,0.61,,89.0,98.0,82.0,77.0,76.0,80.0,28.0,84.0,82.0,17.0,15.0,35.0,42.0,12.0
2020,H9487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,H9516,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,
2020,H9525,99.0,74.0,72.0,98.0,88.0,92.0,96.0,96.0,75.0,0.25,91.0,84.0,67.0,93.0,81.0,87.0,,40.0,82.0,70.0,73.0,12.0,48.0,39.0,6.0,90.0,87.0,86.0,52.0,97.0,77.0,63.0,78.0,0.5,,98.0,0.25,,90.0,96.0,76.0,80.0,79.0,82.0,12.0,85.0,79.0,22.0,18.0,20.0,18.0,
2020,H9572,99.0,80.0,83.0,95.0,86.0,,,,84.0,0.03,87.0,89.0,81.0,96.0,77.0,85.0,,47.0,83.0,68.0,58.0,1.0,51.0,51.0,8.0,98.0,86.0,85.0,53.0,92.0,79.0,,79.0,2.5,93.0,92.0,0.03,,92.0,98.0,88.0,85.0,84.0,88.0,1.0,84.0,82.0,42.0,7.0,14.0,8.0,12.0
2020,H9576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,H9585,,,,97.0,,88.0,91.0,88.0,,,,71.0,79.0,,,,,,,,74.0,9.0,,,,,,,,,,79.0,,,,92.0,,,,99.0,77.0,77.0,80.0,79.0,9.0,,88.0,,,,,
2020,H9589,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,75.0,,,,99.0,,,,,,,,,,,,
2020,H9590,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,
2020,H9615,94.0,81.0,81.0,92.0,86.0,,,,78.0,0.08,93.0,79.0,84.0,95.0,82.0,85.0,,53.0,86.0,73.0,56.0,4.0,56.0,30.0,10.0,100.0,87.0,88.0,47.0,92.0,86.0,,83.0,5.4,89.0,95.0,0.08,,93.0,99.0,69.0,86.0,86.0,89.0,4.0,87.0,79.0,33.0,7.0,11.0,15.0,10.0
2020,H9630,,70.0,,97.0,86.0,,,,,0.53,91.0,70.0,66.0,94.0,78.0,83.0,,,,,58.0,11.0,,,12.0,100.0,85.0,89.0,,100.0,72.0,,,19.8,,98.0,0.53,,90.0,99.0,92.0,78.0,78.0,80.0,11.0,87.0,74.0,13.0,18.0,30.0,28.0,
2020,H9699,96.0,72.0,65.0,98.0,85.0,,,,65.0,0.22,87.0,72.0,58.0,93.0,74.0,83.0,,51.0,82.0,70.0,48.0,19.0,44.0,,7.0,,84.0,83.0,52.0,,70.0,,74.0,0.0,,95.0,0.22,,90.0,99.0,71.0,80.0,80.0,82.0,19.0,81.0,74.0,20.0,11.0,23.0,34.0,11.0
2020,H9706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,H9712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,H9725,99.0,72.0,83.0,98.0,91.0,98.0,96.0,99.0,87.0,0.29,90.0,86.0,84.0,99.0,80.0,85.0,,39.0,84.0,71.0,88.0,16.0,55.0,,9.0,100.0,88.0,88.0,63.0,91.0,81.0,78.0,80.0,15.4,100.0,97.0,0.29,,92.0,99.0,81.0,80.0,79.0,83.0,16.0,85.0,80.0,17.0,11.0,17.0,16.0,
2020,H9730,99.0,66.0,65.0,90.0,86.0,80.0,90.0,90.0,62.0,0.4,91.0,70.0,68.0,93.0,79.0,84.0,,32.0,88.0,72.0,66.0,17.0,44.0,58.0,9.0,100.0,85.0,85.0,65.0,100.0,69.0,,81.0,3.2,,81.0,0.4,,91.0,99.0,77.0,77.0,78.0,78.0,17.0,84.0,81.0,11.0,16.0,18.0,35.0,
2020,H9808,99.0,83.0,79.0,95.0,88.0,,,,75.0,0.07,94.0,88.0,74.0,97.0,78.0,85.0,,43.0,,,63.0,8.0,56.0,25.0,8.0,97.0,87.0,89.0,47.0,90.0,80.0,,76.0,13.9,77.0,89.0,0.07,,93.0,99.0,77.0,81.0,82.0,85.0,8.0,86.0,76.0,18.0,10.0,21.0,25.0,12.0
2020,H9811,,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,,,,98.0,88.0,75.0,79.0,76.0,,,73.0,16.0,22.0,30.0,46.0,
2020,H9826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,H9834,97.0,80.0,83.0,89.0,92.0,,,,78.0,0.1,94.0,92.0,77.0,,85.0,85.0,,49.0,87.0,74.0,90.0,,48.0,,,,90.0,92.0,47.0,,,,,,,97.0,0.1,,94.0,99.0,,87.0,92.0,91.0,,89.0,95.0,,,,,
2020,H9861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,H9869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,H9870,89.0,63.0,60.0,86.0,87.0,74.0,95.0,81.0,50.0,0.14,92.0,45.0,48.0,93.0,81.0,88.0,,,,,38.0,11.0,48.0,,11.0,90.0,88.0,89.0,,87.0,41.0,39.0,72.0,4.3,,83.0,0.14,,,99.0,83.0,72.0,70.0,74.0,11.0,86.0,75.0,,,,,
2020,H9877,92.0,72.0,62.0,94.0,88.0,59.0,71.0,68.0,58.0,0.75,91.0,52.0,54.0,91.0,77.0,83.0,,50.0,,,31.0,11.0,53.0,,8.0,,84.0,85.0,62.0,,44.0,,,26.5,,91.0,0.75,,88.0,98.0,77.0,78.0,78.0,79.0,11.0,82.0,75.0,9.0,31.0,40.0,44.0,
2020,H9878,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,
2020,H9909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,H9942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,H9952,,,,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,,,,,,,,
2020,R0110,97.0,69.0,69.0,100.0,85.0,,,,74.0,0.14,90.0,80.0,67.0,93.0,75.0,86.0,,50.0,80.0,70.0,64.0,22.0,47.0,36.0,9.0,98.0,86.0,85.0,48.0,98.0,76.0,,82.0,0.8,77.0,97.0,0.14,,88.0,99.0,80.0,81.0,79.0,82.0,22.0,85.0,79.0,33.0,5.0,14.0,23.0,3.0
2020,R0759,99.0,67.0,76.0,98.0,85.0,86.0,94.0,96.0,79.0,0.14,91.0,82.0,76.0,98.0,77.0,84.0,,44.0,82.0,69.0,65.0,17.0,53.0,46.0,8.0,100.0,84.0,86.0,57.0,99.0,76.0,64.0,79.0,0.1,98.0,97.0,0.14,,90.0,99.0,83.0,80.0,81.0,83.0,17.0,84.0,79.0,,,,,
2020,R0802,,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,,,,,,,,,,,,,,,,
2020,R0865,99.0,71.0,68.0,100.0,89.0,,,,75.0,0.09,92.0,82.0,70.0,96.0,81.0,88.0,,37.0,80.0,70.0,80.0,15.0,43.0,54.0,9.0,98.0,85.0,83.0,52.0,95.0,76.0,,82.0,2.8,100.0,97.0,0.09,,91.0,99.0,79.0,84.0,84.0,85.0,15.0,85.0,79.0,30.0,9.0,10.0,5.0,
2020,R0923,99.0,73.0,59.0,100.0,88.0,,,,70.0,0.12,92.0,80.0,69.0,92.0,80.0,86.0,,39.0,80.0,70.0,77.0,13.0,39.0,,9.0,100.0,86.0,83.0,53.0,92.0,72.0,,85.0,1.7,,97.0,0.12,,,99.0,81.0,85.0,83.0,85.0,13.0,85.0,78.0,32.0,10.0,19.0,24.0,
2020,R1390,99.0,72.0,72.0,100.0,87.0,,,,75.0,0.18,91.0,82.0,71.0,98.0,80.0,84.0,,42.0,80.0,70.0,73.0,20.0,48.0,32.0,8.0,94.0,87.0,84.0,60.0,92.0,82.0,,84.0,2.5,80.0,97.0,0.18,,89.0,99.0,78.0,84.0,84.0,86.0,20.0,86.0,81.0,32.0,10.0,18.0,20.0,
2020,R1532,96.0,71.0,58.0,100.0,86.0,,,,65.0,0.13,,73.0,65.0,91.0,75.0,78.0,,33.0,80.0,70.0,65.0,16.0,44.0,,10.0,,83.0,83.0,51.0,,81.0,,85.0,0.0,,97.0,0.13,,,99.0,78.0,82.0,85.0,83.0,16.0,86.0,79.0,30.0,,21.0,21.0,
2020,R1548,,71.0,,97.0,88.0,85.0,93.0,95.0,,0.24,92.0,79.0,72.0,99.0,79.0,84.0,,,,,55.0,12.0,,,2.0,96.0,86.0,90.0,,100.0,79.0,65.0,,0.0,,95.0,0.24,,91.0,99.0,80.0,81.0,81.0,83.0,12.0,88.0,79.0,14.0,,21.0,32.0,
2020,R2604,99.0,67.0,76.0,98.0,85.0,86.0,94.0,96.0,79.0,0.14,91.0,82.0,76.0,98.0,77.0,84.0,,44.0,82.0,69.0,65.0,17.0,53.0,46.0,8.0,100.0,84.0,86.0,57.0,99.0,76.0,64.0,79.0,0.1,98.0,97.0,0.14,,90.0,99.0,83.0,80.0,81.0,83.0,17.0,84.0,79.0,,,,,
2020,R3175,99.0,62.0,64.0,97.0,84.0,76.0,87.0,91.0,67.0,0.04,89.0,77.0,75.0,94.0,77.0,78.0,,39.0,87.0,66.0,58.0,4.0,53.0,,9.0,,84.0,87.0,61.0,,,52.0,76.0,0.0,,95.0,0.04,,90.0,99.0,73.0,82.0,85.0,83.0,4.0,85.0,76.0,,,,,
2020,R3332,96.0,68.0,77.0,97.0,87.0,,,,77.0,0.11,89.0,86.0,72.0,95.0,76.0,83.0,,52.0,83.0,70.0,61.0,10.0,54.0,64.0,9.0,99.0,85.0,85.0,52.0,93.0,75.0,,77.0,0.6,92.0,94.0,0.11,,90.0,99.0,56.0,83.0,82.0,86.0,10.0,81.0,78.0,37.0,6.0,16.0,15.0,10.0
2020,R3392,99.0,70.0,70.0,100.0,86.0,,,,73.0,0.13,90.0,86.0,69.0,96.0,77.0,84.0,,43.0,80.0,70.0,72.0,19.0,49.0,39.0,8.0,96.0,86.0,84.0,48.0,93.0,80.0,,83.0,0.8,96.0,97.0,0.13,,89.0,99.0,78.0,84.0,83.0,85.0,19.0,85.0,78.0,33.0,9.0,13.0,13.0,
2020,R3444,99.0,67.0,67.0,98.0,84.0,84.0,94.0,97.0,72.0,0.14,91.0,81.0,72.0,96.0,76.0,84.0,,42.0,81.0,68.0,66.0,17.0,43.0,44.0,9.0,100.0,85.0,85.0,58.0,99.0,78.0,60.0,77.0,0.4,,98.0,0.14,,92.0,99.0,79.0,81.0,82.0,82.0,17.0,85.0,76.0,30.0,10.0,9.0,13.0,8.0
2020,R3887,96.0,72.0,63.0,100.0,85.0,,,,76.0,0.12,90.0,82.0,70.0,93.0,78.0,83.0,,41.0,80.0,70.0,74.0,22.0,47.0,40.0,9.0,97.0,84.0,82.0,54.0,94.0,82.0,,79.0,0.0,,97.0,0.12,,89.0,99.0,81.0,83.0,82.0,85.0,22.0,82.0,80.0,37.0,,22.0,16.0,
2020,R4182,99.0,69.0,61.0,100.0,87.0,,,,73.0,0.11,,77.0,67.0,95.0,77.0,85.0,,43.0,80.0,70.0,85.0,18.0,47.0,30.0,9.0,94.0,86.0,84.0,51.0,94.0,79.0,,81.0,1.5,88.0,97.0,0.11,,91.0,99.0,77.0,83.0,81.0,84.0,18.0,86.0,78.0,40.0,,24.0,19.0,
2020,R4487,99.0,72.0,68.0,97.0,87.0,,,,73.0,0.14,90.0,82.0,71.0,93.0,78.0,85.0,,43.0,79.0,70.0,75.0,11.0,43.0,35.0,7.0,95.0,84.0,83.0,50.0,95.0,79.0,,76.0,3.1,96.0,97.0,0.14,,89.0,96.0,75.0,82.0,82.0,84.0,11.0,83.0,76.0,,,,,
2020,R4845,95.0,75.0,57.0,100.0,85.0,,,,68.0,0.11,,69.0,57.0,88.0,79.0,84.0,,45.0,80.0,70.0,53.0,19.0,39.0,,9.0,,84.0,83.0,50.0,,83.0,,79.0,0.0,,97.0,0.11,,,98.0,81.0,83.0,83.0,83.0,19.0,,77.0,30.0,,23.0,26.0,
2020,R5329,96.0,83.0,82.0,98.0,87.0,,,,77.0,0.1,91.0,77.0,77.0,97.0,82.0,84.0,,39.0,,,55.0,11.0,54.0,,7.0,,87.0,84.0,47.0,,80.0,,85.0,0.0,,98.0,0.1,,90.0,99.0,73.0,89.0,88.0,89.0,11.0,84.0,80.0,45.0,9.0,11.0,14.0,9.0
2020,R5342,98.0,77.0,70.0,98.0,87.0,,,,74.0,0.15,88.0,86.0,80.0,95.0,79.0,84.0,,45.0,78.0,67.0,64.0,15.0,51.0,34.0,9.0,100.0,86.0,83.0,49.0,98.0,80.0,,82.0,0.2,100.0,98.0,0.15,,91.0,99.0,77.0,85.0,84.0,87.0,15.0,83.0,80.0,31.0,9.0,17.0,23.0,9.0
2020,R5361,97.0,72.0,64.0,100.0,89.0,,,,71.0,0.11,90.0,82.0,67.0,93.0,80.0,83.0,,42.0,80.0,70.0,77.0,11.0,44.0,52.0,8.0,98.0,84.0,83.0,50.0,94.0,78.0,,80.0,4.5,,97.0,0.11,,,99.0,80.0,84.0,84.0,86.0,11.0,,80.0,21.0,13.0,14.0,11.0,
2020,R5495,96.0,81.0,61.0,100.0,,,,,68.0,0.11,,71.0,52.0,88.0,78.0,86.0,,33.0,80.0,70.0,72.0,16.0,41.0,23.0,9.0,93.0,87.0,83.0,60.0,87.0,86.0,,84.0,0.0,,97.0,0.11,,,99.0,82.0,85.0,86.0,86.0,16.0,84.0,80.0,35.0,9.0,15.0,12.0,
2020,R5826,99.0,67.0,64.0,100.0,86.0,,,,71.0,0.38,88.0,84.0,68.0,94.0,77.0,84.0,,40.0,80.0,70.0,75.0,19.0,52.0,31.0,9.0,94.0,85.0,85.0,50.0,91.0,75.0,,78.0,3.1,94.0,97.0,0.38,,87.0,99.0,80.0,83.0,82.0,84.0,19.0,84.0,79.0,22.0,7.0,19.0,23.0,7.0
2020,R5941,98.0,72.0,67.0,97.0,88.0,,,,68.0,0.14,,80.0,69.0,93.0,80.0,86.0,,43.0,79.0,70.0,75.0,11.0,43.0,39.0,6.0,95.0,87.0,83.0,50.0,95.0,82.0,,72.0,3.1,96.0,97.0,0.14,,90.0,96.0,75.0,82.0,82.0,84.0,11.0,81.0,76.0,34.0,7.0,9.0,37.0,10.0
2020,R6694,99.0,73.0,74.0,100.0,88.0,,,,70.0,0.22,89.0,83.0,74.0,96.0,81.0,86.0,,47.0,,,75.0,26.0,53.0,,10.0,100.0,88.0,85.0,58.0,100.0,85.0,,81.0,2.3,,97.0,0.22,,89.0,99.0,80.0,85.0,85.0,88.0,26.0,83.0,79.0,50.0,7.0,12.0,11.0,
2020,R6801,99.0,70.0,68.0,98.0,86.0,87.0,93.0,96.0,71.0,0.18,91.0,81.0,71.0,98.0,79.0,85.0,,41.0,78.0,66.0,53.0,18.0,49.0,33.0,8.0,99.0,88.0,85.0,60.0,99.0,77.0,58.0,80.0,0.1,100.0,98.0,0.18,,89.0,99.0,80.0,79.0,79.0,82.0,18.0,84.0,79.0,29.0,12.0,11.0,16.0,10.0
2020,R7220,98.0,58.0,58.0,100.0,84.0,,,,69.0,0.19,89.0,82.0,68.0,94.0,76.0,79.0,,37.0,80.0,70.0,67.0,15.0,47.0,,6.0,100.0,84.0,82.0,46.0,100.0,63.0,,85.0,3.3,,97.0,0.19,,,99.0,81.0,85.0,84.0,87.0,15.0,85.0,75.0,32.0,15.0,24.0,28.0,
2020,R7315,99.0,71.0,65.0,100.0,86.0,,,,72.0,0.13,92.0,80.0,65.0,94.0,78.0,87.0,,41.0,80.0,70.0,75.0,18.0,47.0,46.0,8.0,100.0,85.0,87.0,55.0,100.0,73.0,,79.0,2.2,,97.0,0.13,,,99.0,78.0,83.0,83.0,84.0,18.0,85.0,78.0,34.0,10.0,14.0,20.0,
2020,R7444,99.0,67.0,76.0,98.0,85.0,,,,79.0,0.14,91.0,82.0,76.0,98.0,77.0,84.0,,44.0,82.0,69.0,65.0,17.0,53.0,46.0,8.0,100.0,84.0,86.0,57.0,99.0,76.0,,79.0,0.1,98.0,97.0,0.14,,90.0,99.0,83.0,80.0,81.0,83.0,17.0,84.0,79.0,25.0,7.0,10.0,24.0,7.0
2020,S0586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,87.0,83.0,90.0,,,75.0,,,,,
2020,S0655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,0.02,,93.0,,66.0,88.0,87.0,90.0,,89.0,87.0,,,,,
2020,S1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,91.0,88.0,0.02,,88.0,99.0,5.0,83.0,83.0,86.0,8.0,82.0,76.0,38.0,5.0,,,13.0
2020,S1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,0.05,,91.0,,56.0,82.0,82.0,86.0,,91.0,81.0,,,,,
2020,S1822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,,0.0,,92.0,,,87.0,89.0,90.0,,89.0,81.0,,,,,
2020,S1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,
2020,S2468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,93.0,97.0,0.04,,90.0,99.0,66.0,84.0,84.0,86.0,5.0,83.0,78.0,38.0,7.0,,,15.0
2020,S2668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,77.0,81.0,0.2,,89.0,98.0,61.0,84.0,83.0,85.0,31.0,81.0,74.0,43.0,9.0,,,13.0
2020,S2874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,99.0,0.13,,87.0,99.0,65.0,64.0,74.0,80.0,12.0,80.0,75.0,30.0,11.0,,,12.0
2020,S2893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,93.0,94.0,0.01,,90.0,99.0,51.0,88.0,88.0,90.0,2.0,84.0,83.0,36.0,8.0,,,12.0
2020,S3285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,S3389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2,,,0.0,,,,63.0,85.0,95.0,89.0,,,86.0,,,,,
2020,S3521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.01,,94.0,,63.0,88.0,89.0,91.0,,91.0,78.0,,,,,
2020,S3875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,71.0,,0.0,,91.0,,,85.0,83.0,85.0,,88.0,75.0,,,,,
2020,S3994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,S4219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,60.0,89.0,94.0,88.0,,86.0,81.0,,,,,
2020,S4501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.9,85.0,,0.0,,92.0,,58.0,86.0,87.0,89.0,,88.0,81.0,,,,,
2020,S4607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,75.0,95.0,0.11,,84.0,99.0,13.0,79.0,79.0,80.0,12.0,80.0,78.0,34.0,11.0,,,22.0
2020,S4802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,92.0,84.0,0.07,,89.0,99.0,52.0,82.0,82.0,83.0,11.0,83.0,79.0,30.0,9.0,,,12.0
2020,S5450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,S5540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,91.0,97.0,0.03,,89.0,99.0,66.0,83.0,84.0,86.0,4.0,83.0,78.0,37.0,6.0,,,10.0
2020,S5552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,85.0,97.0,0.04,,90.0,99.0,38.0,82.0,83.0,85.0,15.0,81.0,77.0,32.0,11.0,,,12.0
2020,S5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,87.0,92.0,0.05,,90.0,98.0,75.0,85.0,86.0,88.0,4.0,86.0,78.0,40.0,8.0,,,11.0
2020,S5588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,S5593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,85.0,97.0,0.04,,89.0,99.0,46.0,86.0,86.0,88.0,5.0,82.0,77.0,42.0,5.0,,,10.0
2020,S5596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,96.0,97.0,0.03,,91.0,96.0,31.0,84.0,85.0,86.0,5.0,83.0,79.0,48.0,6.0,,,11.0
2020,S5601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,93.0,97.0,0.03,,89.0,99.0,34.0,83.0,83.0,85.0,8.0,82.0,78.0,39.0,6.0,,,10.0
2020,S5609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,80.0,95.0,0.03,,87.0,99.0,56.0,87.0,84.0,87.0,7.0,81.0,81.0,36.0,9.0,,,18.0
2020,S5617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,89.0,97.0,0.05,,91.0,99.0,39.0,82.0,81.0,83.0,11.0,83.0,77.0,39.0,8.0,,,12.0
2020,S5660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,80.0,75.0,0.05,,89.0,99.0,29.0,84.0,84.0,86.0,5.0,85.0,77.0,37.0,10.0,,,18.0
2020,S5715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,88.0,94.0,0.04,,89.0,99.0,2.0,84.0,83.0,86.0,7.0,81.0,78.0,41.0,6.0,,,13.0
2020,S5726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,91.0,100.0,0.03,,91.0,97.0,29.0,87.0,86.0,89.0,7.0,83.0,77.0,42.0,5.0,,,10.0
2020,S5743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,90.0,94.0,0.01,,90.0,99.0,31.0,89.0,89.0,91.0,12.0,83.0,81.0,35.0,6.0,,,11.0
2020,S5753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,80.0,89.0,0.02,,90.0,99.0,26.0,88.0,88.0,90.0,5.0,82.0,83.0,37.0,4.0,,,8.0
2020,S5768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,96.0,97.0,0.06,,88.0,99.0,24.0,83.0,83.0,85.0,13.0,81.0,78.0,47.0,6.0,,,14.0
2020,S5795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,81.0,,0.01,,91.0,99.0,65.0,84.0,83.0,86.0,7.0,82.0,75.0,44.0,5.0,,,10.0
2020,S5805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,100.0,98.0,0.04,,89.0,99.0,3.0,83.0,83.0,87.0,5.0,81.0,80.0,42.0,7.0,,,10.0
2020,S5810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,97.0,97.0,0.06,,90.0,99.0,22.0,82.0,82.0,84.0,12.0,82.0,77.0,31.0,8.0,,,14.0
2020,S5820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,95.0,98.0,0.03,,89.0,99.0,4.0,83.0,83.0,86.0,6.0,82.0,78.0,52.0,5.0,,,8.0
2020,S5857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,S5877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.04,,92.0,98.0,,84.0,85.0,84.0,,88.0,78.0,,,,,
2020,S5884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,85.0,97.0,0.04,,89.0,99.0,44.0,84.0,83.0,86.0,15.0,81.0,76.0,39.0,7.0,,,9.0
2020,S5904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,91.0,94.0,0.03,,85.0,99.0,57.0,85.0,84.0,88.0,4.0,78.0,80.0,39.0,10.0,,,17.0
2020,S5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,95.0,0.0,,89.0,99.0,56.0,87.0,84.0,87.0,4.0,83.0,77.0,39.0,,,,21.0
2020,S5921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,95.0,98.0,0.06,,89.0,99.0,4.0,84.0,83.0,87.0,12.0,83.0,77.0,38.0,6.0,,,12.0
2020,S5953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,98.0,98.0,0.02,,89.0,99.0,54.0,84.0,83.0,87.0,6.0,80.0,78.0,44.0,8.0,,,16.0
2020,S5960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.16,,91.0,,34.0,85.0,84.0,86.0,,85.0,77.0,,,,,
2020,S5966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,75.0,,0.01,,89.0,,,81.0,81.0,85.0,,85.0,80.0,,,,,
